MeanDelta,MedianDelta,SkewnessDelta,KurtosisDelta,StdDeviaDelta,RMSDelta,EnergyDelta,MeanTheta,MedianTheta,SkewnessTheta,KurtosisTheta,StdDeviaTheta,RMSTheta,EnergyTheta,MeanalphaLow,MedianalphaLow,SkewnessalphaLow,KurtosisalphaLow,StdDeviaalphaLow,RMSalphaLow,EnergyalphaLow,MeanalphaHigh,MedianalphaHigh,SkewnessalphaHigh,KurtosisalphaHigh,StdDeviaalphaHigh,RMSalphaHigh,EnergyalphaHigh,MeanbetaLow,MedianbetaLow,SkewnessbetaLow,KurtosisbetaLow,StdDeviabetaLow,RMSbetaLow,EnergybetaLow,MeanbetaHigh,MedianbetaHigh,SkewnessbetaHigh,KurtosisbetaHigh,StdDeviabetaHigh,RMSbetaHigh,EnergybetaHigh,MeangammaLow,MediangammaLow,SkewnessgammaLow,KurtosisgammaLow,StdDeviagammaLow,RMSgammaLow,EnergygammaLow,MeangammaMid,MediangammaMid,SkewnessgammaMid,KurtosisgammaMid,StdDeviagammaMid,RMSgammaMid,EnergygammaMid,Level
1424583.712,389459,3.9955536,15.02371353,3634970.074,3875370.551,1,4125860.119,141292,1.260292036,-0.41654091,7114992.253,8172381.39,1,1174970.254,13537,3.525883932,10.80473764,4238818.981,4363898.039,1,2304167.102,11415,2.184247352,2.868055394,5771920.113,6169245.153,1,1448011.373,15389,3.059566406,7.620274419,4699381.055,4879201.887,1,4006191.78,18053,1.267044807,-0.408887658,7173797.599,8163374.549,1,3425801,13697,1.51240734,0.296411674,6795943.941,7558979.588,1,297933.5593,6145,7.679265311,58.98033147,2181598.166,2183453.152,1,1
1661129.763,140230,3.024789532,7.482016867,4648849.685,4899474.842,1,3180773.39,27088,1.650841449,0.752454365,6555174.519,7235974.153,1,306958.661,9412,7.661787037,58.79308641,2180200.211,2183330.628,1,586640.2881,8823,5.283583337,26.8363146,3054185.383,3084492.286,1,1148291.424,10267,3.528629643,10.81737331,4245055.218,4362755.425,1,2287375.593,17502,2.18463654,2.869021039,5776637.574,6167336.808,1,1148618.492,11800,3.52864651,10.81743876,4244692.848,4362494.912,1,6149.59322,5019,6.008598971,41.91392102,9311.860231,11093.17647,1,1
3621311.593,145244,1.50013659,0.277936115,6704643.754,7569956.606,1,3443406.525,23080,1.511999733,0.295831233,6784195.838,7556604.503,1,2003698.458,10435,2.420412033,3.993107584,5458948.356,5771467.572,1,1431324.678,8200,3.060369281,7.623369965,4704479.905,4879108.591,1,307224.339,9261,7.67061752,58.8885784,2179115.222,2182302.95,1,1433480.831,14484,3.06031246,7.623144473,4702525.745,4877889.542,1,584810.4407,8067,5.283830246,26.83809925,3055245.094,3085176.427,1,577338.5254,4368,5.286098391,26.85434159,3060638.736,3089022.159,1,1
1310392.237,192850,3.945226228,14.68705449,3680603.236,3877416.735,1,2944884.356,70758,1.800919218,1.297832627,6298791.337,6904684.092,1,3150395.407,14578,1.651823115,0.754117269,6570815.195,7236629.983,1,1436465.983,13106,3.060293107,7.623066086,4701615.297,4877904.955,1,2293927.763,17915,2.184412834,2.868461411,5776548.368,6169687.808,1,2870783.356,22397,1.807407162,1.311322814,6324922.295,6896955.439,1,2009632.186,12677,2.419970669,3.991820602,5456933.159,5771657.226,1,580465.4746,5348,5.284916095,26.84589366,3054332.321,3083466.94,1,1
1946615.847,391306,2.954853174,7.200747714,4592398.885,4951967.385,1,2917507.356,72361,1.807098915,1.310770956,6306732.67,6900186.642,1,2582981.932,14870,1.983036771,2.000055939,6064851.934,6544523.943,1,3426039.983,15230,1.512309288,0.296270995,6794336.554,7557667.318,1,3423718.831,17886,1.512455302,0.296476434,6795428.628,7557580.66,1,1720519.322,15639,2.704780886,5.501523762,5102300.186,5343445.398,1,862757.2034,8033,4.196330731,16.15651946,3708333.028,3776639.194,1,5024.186441,3848,1.582264243,3.023098412,4822.04239,6935.447998,1,1
1434783.138,291391,3.471918682,10.47013195,4216715.912,4419585.055,1,4408882.759,57497.5,1.130157068,-0.747021833,7359696.001,8524640.224,1,2326938.052,8632,2.156048804,2.742190134,5821918.116,6222939.767,1,1743562.828,8614.5,2.673871039,5.332419816,5145389.876,5390601.279,1,1455218.862,8712.5,3.027448091,7.420347268,4738666.124,4917871.912,1,2033792.741,13512.5,2.391002931,3.848499624,5502942.299,5822076.689,1,1164471.069,9207.5,3.493047242,10.56473778,4279279.367,4399147.262,1,293713.9655,3674,7.615725235,57.99950536,2197990.858,2198666.818,1,1
3357921.61,220741,1.641558881,0.736389553,6477863.829,7247559.919,1,3759264.695,30589,1.382731989,-0.088872557,6970610.482,7867523.893,1,1714953.593,8190,2.70483645,5.501704354,5104686.855,5343897.044,1,1429785.949,9129,3.060391747,7.623452832,4704339.491,4878524.309,1,1144578.492,7391,3.528761416,10.81796589,4247351.748,4363976.872,1,296468.2712,8638,7.680679675,58.99513552,2180397.591,2182074.37,1,576653.5254,5834,5.286534421,26.85743152,3057338.636,3085679.776,1,4769.169492,2651,1.931364816,3.795403192,5024.246419,6896.38901,1,1
1988708.78,99199,2.667159786,5.373745338,5032549.391,5371429.267,1,3450291.339,25897,1.512128675,0.296020726,6783914.664,7559496.22,1,867183.6441,10648,4.196242929,16.15603992,3710811.754,3780044.896,1,869390.0169,13920,4.196226698,16.15598191,3709004.515,3778807.86,1,1150367.339,10362,3.528369792,10.81618046,4246411.06,4364599.027,1,1148883.729,14661,3.528749508,10.81789936,4243141.056,4361080.5,1,10967.76271,10136,0.724008055,0.078982165,7608.085908,13311.41325,1,5713.915254,4859,1.613538135,4.316893058,4704.289991,7375.912233,1,1
1942808.068,145017,2.682927854,5.428307117,5039603.522,5361122.923,1,2321078.78,22793,2.183796851,2.866932616,5765352.629,6169547.781,1,579332.9492,7938,5.285973853,26.85346768,3055977.636,3084856.213,1,862083.678,5824,4.196394827,16.15688155,3709818.543,3777919.385,1,860693.2881,7109,4.196460991,16.15723797,3709167.093,3776973.44,1,1145846.017,9673,3.528754568,10.81792745,4245194.951,4362246.103,1,8504.966102,7207,0.647200512,-0.499292927,6548.462586,10699.99958,1,4649.627119,3802,1.531282351,3.012101197,4184.553377,6231.591401,1,1
2131695.559,240453,2.63667645,5.267655604,5000282.022,5396588.704,1,3774164.797,30036,1.380519015,-0.091816291,6968138.636,7872503.452,1,1720167.695,12410,2.704727065,5.501343647,5101919.852,5342975.169,1,2565750.61,9634,1.983538501,2.00115643,6073800.167,6545903.502,1,1711804.424,6122,2.704882292,5.50185941,5106971.983,5345033.546,1,1716217.441,11943,2.704860834,5.501783344,5105169.609,5344756.066,1,863078,6917,4.196379226,16.15679406,3709726.109,3778057.179,1,574466.7119,3502,5.286551728,26.85755196,3061104.683,3088940.626,1,1
1490743.729,222860,3.460249604,10.49954632,4178828.262,4403288.106,1,2925036.373,72885,1.80642869,1.309466856,6303873.842,6900806.024,1,879679.2203,11733,4.193756151,16.14216137,3707367.102,3779609.441,1,2001706.763,13134,2.420586653,3.993609665,5459483.771,5771274.313,1,1717028.525,9224,2.704838944,5.50170621,5104203.003,5344108.988,1,2284317.322,14764,2.184738833,2.869277499,5780025.904,6169323.783,1,294169.6949,10622,7.681012271,58.99860962,2179737.718,2181114.98,1,6162.220339,5496,0.657469546,-0.58143874,4627.39181,7682.628875,1,1
2328099.379,241285.5,2.36402837,3.769360036,5410901.65,5847487.73,1,3243110.19,23322.5,1.624532679,0.66263431,6597207.237,7300034.795,1,2321578.31,9906.5,2.156135677,2.742401581,5823136.491,6222058.174,1,2031438.069,7491.5,2.390996774,3.848487696,5502947.287,5821259.197,1,1742330.81,9138,2.673883607,5.332461297,5144851.389,5389697.751,1,2031079.224,6976,2.391004697,3.848506824,5502550.319,5820765.183,1,1162862.5,6093.5,3.493031475,10.56466804,4279770.408,4399191.214,1,4422.741379,2733,1.496607518,1.922862076,4496.978543,6279.712421,1,1
2499869.644,88668,2.157731928,2.797745105,5715331.481,6193602.98,1,2881912.847,20475,1.807505583,1.311523792,6325131.573,6901783.931,1,2280345.966,6544,2.184746081,2.869295314,5784071.588,6171581.625,1,1711480.441,6782,2.704882137,5.501852859,5104864.29,5342950.113,1,581031.0169,9154,5.286305885,26.85581885,3055986.697,3085184.383,1,295862.6102,9882,7.680616527,58.9944762,2180735.351,2182323.957,1,575320.8814,7109,5.286552788,26.85755947,3055482.604,3083623.066,1,4323.423729,2981,2.451693229,7.216077515,4686.88382,6347.168871,1,1
1244915.276,148664.5,4.026473557,15.09189704,3691188.2,3865200.23,1,4137902.345,72275.5,1.236990994,-0.481724927,7185331.894,8237783.389,1,1464072,12158,3.027208056,7.419448966,4738106.955,4919969.642,1,2037095.017,13379,2.390945764,3.848341843,5500327.691,5820802.946,1,2034766.948,13157,2.390991918,3.848466265,5502137.491,5821669.547,1,2034219.345,14453.5,2.391003486,3.848501578,5500925.291,5820352.238,1,300904.6552,11328,7.615485267,57.9970228,2199201.164,2200827.5,1,294607.1552,5518.5,7.615729158,57.99954598,2199465.926,2200235.435,1,1
1233499.69,212465,4.061551713,15.29523342,3685153.778,3855870.296,1,2372333.207,65938.5,2.15547788,2.740801852,5804808.14,6224371.483,1,2324996.983,11845,2.156107082,2.742334412,5823566.449,6223729.934,1,1745510.052,11642,2.673854254,5.33236156,5142485.641,5388507.484,1,2323059.034,12884.5,2.156143278,2.742419922,5822384.869,6221919.578,1,2033677,15107,2.391002731,3.848495232,5501399.235,5820602.937,1,1165694.948,10390.5,3.49301275,10.56458787,4279403.931,4399590.458,1,583515.9138,4147,5.238976117,26.35511827,3084786.742,3113251.141,1,1
